[[956.9847328244276], [364.61552680221797], [1.0]]
[[954.0717557251909], [355.84288354898325], [1.0]]
[[952.6152671755727], [351.456561922366], [1.0]]
[[949.702290076336], [347.07024029574853], [1.0]]
[[946.7893129770993], [347.07024029574853], [1.0]]
[[943.8763358778627], [347.07024029574853], [1.0]]
[[940.963358778626], [347.07024029574853], [1.0]]
[[938.0503816793895], [347.07024029574853], [1.0]]
[[935.1374045801527], [347.07024029574853], [1.0]]
[[933.6809160305344], [342.6839186691313], [1.0]]
[[930.7679389312979], [342.6839186691313], [1.0]]
[[930.7679389312979], [342.6839186691313], [1.0]]
[[929.3114503816795], [347.07024029574853], [1.0]]
[[927.8549618320611], [347.07024029574853], [1.0]]
[[924.9419847328246], [360.2292051756007], [1.0]]
[[923.4854961832062], [360.2292051756007], [1.0]]
[[922.0290076335879], [360.2292051756007], [1.0]]
[[919.1160305343514], [364.61552680221797], [1.0]]
[[913.2900763358781], [360.2292051756007], [1.0]]
[[898.7251908396948], [351.456561922366], [1.0]]
[[892.8992366412216], [342.6839186691313], [1.0]]
[[327.7816793893132], [3114.8391866913125], [1.0]]
[[345.25954198473295], [3106.0665434380776], [1.0]]
[[340.89007633587806], [3106.0665434380776], [1.0]]
[[856.4870229007635], [338.2975970425138], [1.0]]
[[355.4549618320612], [3092.9075785582254], [1.0]]
[[364.1938931297712], [3092.9075785582254], [1.0]]
[[372.9328244274811], [3084.134935304991], [1.0]]
[[837.5526717557253], [333.91127541589634], [1.0]]
[[830.2702290076337], [329.5249537892791], [1.0]]
[[822.9877862595421], [329.5249537892791], [1.0]]
[[818.6183206106872], [325.1386321626616], [1.0]]
[[814.2488549618323], [320.7523105360444], [1.0]]
[[809.8793893129772], [329.5249537892791], [1.0]]
[[804.0534351145039], [329.5249537892791], [1.0]]
[[796.7709923664123], [333.91127541589634], [1.0]]
[[789.4885496183209], [338.2975970425138], [1.0]]
[[785.1190839694658], [342.6839186691313], [1.0]]
[[782.2061068702293], [342.6839186691313], [1.0]]
[[777.8366412213742], [342.6839186691313], [1.0]]
[[774.9236641221377], [338.2975970425138], [1.0]]
[[512.7557251908399], [3088.521256931608], [1.0]]
[[522.9511450381681], [3092.9075785582254], [1.0]]
[[531.6900763358781], [3097.2939001848426], [1.0]]
[[538.9725190839697], [3114.8391866913125], [1.0]]
[[547.7114503816795], [3123.611829944547], [1.0]]
[[553.5374045801527], [3141.1571164510165], [1.0]]
[[559.363358778626], [3141.1571164510165], [1.0]]
[[562.2763358778627], [3149.9297597042514], [1.0]]
[[568.102290076336], [3163.0887245841036], [1.0]]
[[569.5587786259543], [3158.702402957486], [1.0]]
[[576.841221374046], [3158.702402957486], [1.0]]
[[582.6671755725192], [3158.702402957486], [1.0]]
[[587.0366412213741], [3167.475046210721], [1.0]]
[[713.751145038168], [360.2292051756007], [1.0]]
[[715.2076335877864], [364.61552680221797], [1.0]]
[[715.2076335877864], [364.61552680221797], [1.0]]
[[710.8381679389315], [364.61552680221797], [1.0]]
[[709.3816793893131], [369.00184842883544], [1.0]]
[[707.9251908396948], [364.61552680221797], [1.0]]
[[703.5557251908399], [360.2292051756007], [1.0]]
[[687.5343511450383], [364.61552680221797], [1.0]]
[[648.2091603053436], [3149.9297597042514], [1.0]]
[[659.8610687022901], [364.61552680221797], [1.0]]
[[656.9480916030536], [364.61552680221797], [1.0]]
[[655.4916030534353], [373.3881700554529], [1.0]]
[[677.3389312977099], [3189.4066543438075], [1.0]]
[[671.5129770992369], [360.2292051756007], [1.0]]
[[693.3603053435115], [3211.3382624768947], [1.0]]
[[699.1862595419848], [3233.2698706099814], [1.0]]
[[702.0992366412215], [3246.4288354898335], [1.0]]
[[678.7954198473283], [355.84288354898325], [1.0]]
[[721.0335877862597], [3290.2920517560074], [1.0]]
[[726.8595419847329], [3303.451016635859], [1.0]]
[[728.3160305343513], [3307.8373382624764], [1.0]]
[[731.2290076335878], [3320.996303142329], [1.0]]
[[731.2290076335878], [3325.3826247689462], [1.0]]
[[735.5984732824429], [3334.1552680221807], [1.0]]
[[739.9679389312978], [3338.541589648798], [1.0]]
[[744.3374045801527], [3347.3142329020334], [1.0]]
[[747.2503816793894], [3351.7005545286506], [1.0]]
[[741.4244274809162], [3356.086876155268], [1.0]]
[[741.4244274809162], [3356.086876155268], [1.0]]
[[739.9679389312978], [3356.086876155268], [1.0]]
[[732.6854961832062], [3356.086876155268], [1.0]]
[[722.490076335878], [3356.086876155268], [1.0]]
[[715.2076335877864], [3347.3142329020334], [1.0]]
[[700.6427480916032], [3347.3142329020334], [1.0]]
[[686.0778625954199], [3351.7005545286506], [1.0]]
[[671.5129770992367], [3351.7005545286506], [1.0]]
[[659.8610687022901], [3351.7005545286506], [1.0]]
[[649.665648854962], [412.8650646950093], [1.0]]
[[652.5786259541985], [399.70609981515713], [1.0]]
[[624.9053435114504], [3351.7005545286506], [1.0]]
[[664.2305343511453], [395.31977818853966], [1.0]]
[[671.5129770992369], [390.9334565619224], [1.0]]
[[677.3389312977101], [390.9334565619224], [1.0]]
[[576.841221374046], [3373.6321626617378], [1.0]]
[[568.102290076336], [3378.018484288355], [1.0]]
[[556.4503816793895], [3378.018484288355], [1.0]]
[[544.798473282443], [3378.018484288355], [1.0]]
[[538.9725190839697], [3378.018484288355], [1.0]]
[[534.6030534351146], [3369.2458410351196], [1.0]]
[[534.6030534351146], [3364.8595194085024], [1.0]]
[[525.8641221374048], [3360.473197781885], [1.0]]
[[524.4076335877864], [3351.7005545286506], [1.0]]
[[508.3862595419848], [3347.3142329020334], [1.0]]
[[501.1038167938932], [3338.541589648798], [1.0]]
[[482.16946564885507], [3329.7689463955635], [1.0]]
[[485.0824427480918], [3320.996303142329], [1.0]]
[[477.8000000000002], [3299.064695009242], [1.0]]
[[463.23511450381693], [3281.519408502773], [1.0]]
[[467.60458015267204], [3268.3604436229202], [1.0]]
[[466.1480916030537], [3263.974121996303], [1.0]]
[[451.5832061068704], [3259.5878003696857], [1.0]]
[[442.84427480916054], [3242.0425138632163], [1.0]]
[[444.3007633587788], [3242.0425138632163], [1.0]]
[[438.47480916030554], [3259.5878003696857], [1.0]]
[[435.5618320610689], [3259.5878003696857], [1.0]]
[[423.9099236641223], [3259.5878003696857], [1.0]]
[[415.1709923664124], [3255.2014787430685], [1.0]]
[[409.34503816793915], [3250.815157116451], [1.0]]
[[403.5190839694659], [3250.815157116451], [1.0]]
[[399.1496183206109], [3242.0425138632163], [1.0]]
[[391.8671755725193], [3246.4288354898335], [1.0]]
[[386.041221374046], [3242.0425138632163], [1.0]]
[[381.67175572519096], [3237.6561922365986], [1.0]]
[[374.38931297709945], [3237.6561922365986], [1.0]]
[[370.01984732824445], [3233.2698706099814], [1.0]]
[[356.9114503816796], [3233.2698706099814], [1.0]]
[[804.0534351145039], [347.07024029574853], [1.0]]
[[808.422900763359], [342.6839186691313], [1.0]]
[[811.3358778625956], [342.6839186691313], [1.0]]
[[812.7923664122139], [342.6839186691313], [1.0]]
[[815.7053435114507], [338.2975970425138], [1.0]]
[[279.71755725190854], [3220.110905730129], [1.0]]
[[304.47786259542005], [3215.724584103512], [1.0]]
[[326.3251908396948], [3215.724584103512], [1.0]]
[[340.89007633587806], [3211.3382624768947], [1.0]]
[[336.52061068702307], [3206.951940850277], [1.0]]
[[362.7374045801528], [3193.7929759704252], [1.0]]
[[368.5633587786261], [3180.634011090573], [1.0]]
[[850.6610687022902], [307.5933456561922], [1.0]]
[[855.0305343511451], [307.5933456561922], [1.0]]
[[859.4000000000002], [303.20702402957494], [1.0]]
[[862.3129770992367], [298.82070240295747], [1.0]]
[[866.6824427480918], [303.20702402957494], [1.0]]
[[871.0519083969467], [303.20702402957494], [1.0]]
[[873.9648854961835], [307.5933456561922], [1.0]]
[[878.3343511450383], [303.20702402957494], [1.0]]
[[881.2473282442749], [307.5933456561922], [1.0]]
[[882.7038167938932], [303.20702402957494], [1.0]]
[[885.61679389313], [303.20702402957494], [1.0]]
[[885.61679389313], [303.20702402957494], [1.0]]
[[887.0732824427483], [303.20702402957494], [1.0]]
[[307.3908396946567], [3176.2476894639553], [1.0]]
[[310.3038167938933], [3176.2476894639553], [1.0]]
[[314.6732824427483], [3171.861367837338], [1.0]]
[[324.86870229007656], [3163.0887245841036], [1.0]]
[[329.23816793893144], [3163.0887245841036], [1.0]]
[[333.60763358778644], [3163.0887245841036], [1.0]]
[[336.52061068702307], [3163.0887245841036], [1.0]]
[[336.52061068702307], [3167.475046210721], [1.0]]
[[332.15114503816807], [3167.475046210721], [1.0]]
[[330.6946564885498], [3171.861367837338], [1.0]]
[[330.6946564885498], [3167.475046210721], [1.0]]
[[330.6946564885498], [3167.475046210721], [1.0]]
[[333.60763358778644], [3163.0887245841036], [1.0]]
[[339.4335877862597], [3163.0887245841036], [1.0]]
[[345.25954198473295], [3163.0887245841036], [1.0]]
[[351.0854961832063], [3158.702402957486], [1.0]]
[[361.28091603053457], [3149.9297597042514], [1.0]]
[[367.1068702290078], [3141.1571164510165], [1.0]]
[[374.38931297709945], [3141.1571164510165], [1.0]]
[[805.5099236641223], [307.5933456561922], [1.0]]
[[801.1404580152674], [303.20702402957494], [1.0]]
[[796.7709923664123], [303.20702402957494], [1.0]]
[[397.6931297709925], [3163.0887245841036], [1.0]]
[[409.34503816793915], [3158.702402957486], [1.0]]
[[416.6274809160308], [3163.0887245841036], [1.0]]
[[423.9099236641223], [3154.3160813308687], [1.0]]
[[429.73587786259566], [3158.702402957486], [1.0]]
[[432.6488549618323], [3171.861367837338], [1.0]]
[[435.5618320610689], [3176.2476894639553], [1.0]]
[[435.5618320610689], [3180.634011090573], [1.0]]
[[435.5618320610689], [3180.634011090573], [1.0]]
[[438.47480916030554], [3180.634011090573], [1.0]]
[[441.38778625954217], [3171.861367837338], [1.0]]
[[447.2137404580154], [3158.702402957486], [1.0]]
[[457.4091603053437], [3158.702402957486], [1.0]]
[[466.1480916030537], [3145.543438077634], [1.0]]
[[474.88702290076344], [3136.770794824399], [1.0]]
[[694.8167938931299], [298.82070240295747], [1.0]]
[[677.3389312977101], [285.6617375231053], [1.0]]
[[672.969465648855], [290.04805914972275], [1.0]]
[[668.6000000000001], [285.6617375231053], [1.0]]
[[659.8610687022901], [285.6617375231053], [1.0]]
[[658.404580152672], [285.6617375231053], [1.0]]
[[651.1221374045804], [290.04805914972275], [1.0]]
[[651.1221374045804], [303.20702402957494], [1.0]]
[[654.0351145038169], [307.5933456561922], [1.0]]
[[649.665648854962], [307.5933456561922], [1.0]]
[[646.7526717557253], [311.97966728280966], [1.0]]
[[642.3832061068704], [311.97966728280966], [1.0]]
[[549.1679389312978], [3044.658040665434], [1.0]]
[[557.9068702290078], [3049.044362292051], [1.0]]
[[562.2763358778627], [3053.430683918669], [1.0]]
[[572.4717557251909], [3057.817005545286], [1.0]]
[[579.7541984732825], [3057.817005545286], [1.0]]
[[585.5801526717557], [3053.430683918669], [1.0]]
[[588.4931297709925], [3053.430683918669], [1.0]]
[[598.6885496183206], [3053.430683918669], [1.0]]
[[598.6885496183206], [3044.658040665434], [1.0]]
[[601.6015267175574], [3022.726432532347], [1.0]]
[[600.145038167939], [3013.9537892791122], [1.0]]
[[595.7755725190841], [3005.1811460258778], [1.0]]
[[595.7755725190841], [3000.79482439926], [1.0]]
[[594.3190839694657], [2987.635859519408], [1.0]]
[[591.4061068702292], [2987.635859519408], [1.0]]
[[588.4931297709925], [2978.8632162661734], [1.0]]
[[585.5801526717557], [2978.8632162661734], [1.0]]
[[582.6671755725192], [2974.476894639556], [1.0]]
[[581.2106870229009], [2965.704251386321], [1.0]]
[[573.9282442748092], [2961.317929759704], [1.0]]
[[566.6458015267176], [2961.317929759704], [1.0]]
[[550.6244274809162], [2952.545286506469], [1.0]]
[[540.4290076335878], [2943.7726432532345], [1.0]]
[[541.8854961832062], [2948.1589648798517], [1.0]]
[[528.7770992366413], [2930.6136783733823], [1.0]]
[[517.1251908396948], [2921.8410351201474], [1.0]]
[[502.5603053435116], [2913.068391866913], [1.0]]
[[621.9923664122139], [285.6617375231053], [1.0]]
[[619.0793893129774], [285.6617375231053], [1.0]]
[[616.1664122137406], [285.6617375231053], [1.0]]
[[614.7099236641222], [290.04805914972275], [1.0]]
[[448.6702290076338], [2904.295748613678], [1.0]]
[[616.1664122137406], [290.04805914972275], [1.0]]
[[614.7099236641222], [290.04805914972275], [1.0]]
[[616.1664122137406], [290.04805914972275], [1.0]]
[[412.2580152671758], [2895.523105360443], [1.0]]
[[404.97557251908415], [2886.7504621072085], [1.0]]
[[399.1496183206109], [2891.1367837338257], [1.0]]
[[393.32366412213764], [2886.7504621072085], [1.0]]
[[383.12824427480933], [2895.523105360443], [1.0]]
[[381.67175572519096], [2891.1367837338257], [1.0]]
[[372.9328244274811], [2899.9094269870607], [1.0]]
[[367.1068702290078], [2908.682070240295], [1.0]]
[[362.7374045801528], [2899.9094269870607], [1.0]]
[[355.4549618320612], [2913.068391866913], [1.0]]
[[348.1725190839697], [2913.068391866913], [1.0]]
[[342.3465648854963], [2917.45471349353], [1.0]]
[[337.97709923664144], [2917.45471349353], [1.0]]
[[332.15114503816807], [2930.6136783733823], [1.0]]
[[324.86870229007656], [2934.9999999999995], [1.0]]
[[275.34809160305366], [2965.704251386321], [1.0]]
[[278.2610687022903], [2983.2495378927906], [1.0]]
[[270.97862595419866], [2987.635859519408], [1.0]]
[[276.8045801526719], [3005.1811460258778], [1.0]]
[[260.7832061068704], [3022.726432532347], [1.0]]
[[254.95725190839715], [3035.8853974121994], [1.0]]
[[244.7618320610689], [3062.2033271719033], [1.0]]
[[234.56641221374065], [3066.5896487985206], [1.0]]
[[233.1099236641224], [3066.5896487985206], [1.0]]
[[231.65343511450402], [3079.748613678373], [1.0]]
[[225.82748091603077], [3088.521256931608], [1.0]]
[[215.63206106870248], [3084.1349353049904], [1.0]]
[[217.08854961832085], [3092.907578558225], [1.0]]
[[206.8931297709926], [3088.5212569316077], [1.0]]
[[209.80610687022923], [3088.5212569316077], [1.0]]
[[201.06717557251935], [3092.907578558225], [1.0]]
[[748.7068702290078], [285.6617375231053], [1.0]]
[[750.1633587786262], [285.6617375231053], [1.0]]
[[193.78473282442772], [3070.9759704251383], [1.0]]
[[753.0763358778627], [285.6617375231053], [1.0]]
[[757.4458015267176], [285.6617375231053], [1.0]]
[[761.8152671755727], [285.6617375231053], [1.0]]
[[770.5541984732826], [281.275415896488], [1.0]]
[[773.4671755725193], [285.6617375231053], [1.0]]
[[779.2931297709926], [285.6617375231053], [1.0]]
[[783.6625954198474], [285.6617375231053], [1.0]]
[[183.58931297709947], [3092.907578558225], [1.0]]
[[789.4885496183209], [285.6617375231053], [1.0]]
[[795.3145038167942], [281.275415896488], [1.0]]
[[798.2274809160307], [285.6617375231053], [1.0]]
[[805.5099236641223], [285.6617375231053], [1.0]]
[[136.9816793893132], [3114.839186691312], [1.0]]
[[815.7053435114507], [285.6617375231053], [1.0]]
[[820.0748091603056], [290.04805914972275], [1.0]]
[[825.9007633587788], [290.04805914972275], [1.0]]
[[831.7267175572521], [294.43438077634], [1.0]]
[[839.0091603053437], [294.43438077634], [1.0]]
[[841.9221374045802], [290.04805914972275], [1.0]]
[[847.7480916030537], [290.04805914972275], [1.0]]
[[849.2045801526718], [290.04805914972275], [1.0]]
[[850.6610687022902], [285.6617375231053], [1.0]]
[[852.1175572519086], [285.6617375231053], [1.0]]
[[853.574045801527], [285.6617375231053], [1.0]]
[[855.0305343511451], [285.6617375231053], [1.0]]
[[855.0305343511451], [281.275415896488], [1.0]]
[[855.0305343511451], [281.275415896488], [1.0]]
[[855.0305343511451], [276.88909426987055], [1.0]]
[[856.4870229007635], [276.88909426987055], [1.0]]
[[856.4870229007635], [272.5027726432533], [1.0]]
[[857.9435114503818], [268.11645101663584], [1.0]]
[[859.4000000000002], [263.7301293900186], [1.0]]
[[860.8564885496186], [259.3438077634011], [1.0]]
[[860.8564885496186], [254.95748613678364], [1.0]]
[[863.7694656488551], [254.95748613678364], [1.0]]
[[863.7694656488551], [250.5711645101664], [1.0]]
[[865.2259541984735], [246.18484288354892], [1.0]]
[[866.6824427480918], [241.79852125693168], [1.0]]
[[868.13893129771], [241.79852125693168], [1.0]]
[[869.5954198473283], [241.79852125693168], [1.0]]
[[869.5954198473283], [237.4121996303142], [1.0]]
[[872.5083969465651], [237.4121996303142], [1.0]]
[[872.5083969465651], [237.4121996303142], [1.0]]
[[872.5083969465651], [237.4121996303142], [1.0]]
[[872.5083969465651], [241.79852125693168], [1.0]]
[[871.0519083969467], [241.79852125693168], [1.0]]
[[873.9648854961835], [246.18484288354892], [1.0]]
[[878.3343511450383], [246.18484288354892], [1.0]]
[[881.2473282442749], [246.18484288354892], [1.0]]
[[884.1603053435116], [246.18484288354892], [1.0]]
[[891.4427480916032], [246.18484288354892], [1.0]]
[[69.98320610687053], [3009.567467652495], [1.0]]
[[74.35267175572541], [3009.567467652495], [1.0]]
[[86.00458015267203], [3005.1811460258778], [1.0]]
[[90.37404580152692], [3013.9537892791122], [1.0]]
[[88.91755725190866], [3009.567467652495], [1.0]]
[[90.37404580152692], [3009.567467652495], [1.0]]
[[938.0503816793895], [237.4121996303142], [1.0]]
[[96.20000000000029], [3000.79482439926], [1.0]]
[[99.11297709923691], [3000.79482439926], [1.0]]
[[104.93893129771017], [3005.1811460258778], [1.0]]
[[116.59083969465668], [2983.2495378927906], [1.0]]
[[128.24274809160332], [2974.476894639556], [1.0]]
[[971.5496183206109], [237.4121996303142], [1.0]]
[[141.3511450381682], [2952.545286506469], [1.0]]
[[150.09007633587808], [2930.6136783733823], [1.0]]
[[157.3725190839697], [2913.068391866913], [1.0]]
[[164.65496183206133], [2899.9094269870607], [1.0]]
[[170.4809160305346], [2891.1367837338257], [1.0]]
[[176.30687022900784], [2886.7504621072085], [1.0]]
[[190.8717557251911], [2899.9094269870607], [1.0]]
[[1054.5694656488552], [250.5711645101664], [1.0]]
[[1061.8519083969466], [254.95748613678364], [1.0]]
[[1066.2213740458017], [250.5711645101664], [1.0]]
[[209.80610687022923], [2904.295748613678], [1.0]]
[[215.63206106870248], [2904.295748613678], [1.0]]
[[224.37099236641237], [2908.682070240295], [1.0]]
[[231.653435114504], [2913.068391866913], [1.0]]
[[238.93587786259565], [2913.068391866913], [1.0]]
[[247.67480916030553], [2917.45471349353], [1.0]]
[[253.5007633587789], [2921.8410351201474], [1.0]]
[[1115.7419847328244], [250.5711645101664], [1.0]]
[[284.08702290076354], [2934.9999999999995], [1.0]]
[[285.5435114503819], [2939.386321626617], [1.0]]
[[294.2824427480918], [2956.9316081330862], [1.0]]
[[301.5648854961834], [2961.317929759704], [1.0]]
[[307.3908396946567], [2961.317929759704], [1.0]]
[[313.21679389312993], [2961.317929759704], [1.0]]
[[317.58625954198493], [2965.704251386321], [1.0]]
[[327.7816793893132], [2974.476894639556], [1.0]]
[[336.52061068702307], [2965.704251386321], [1.0]]
[[1219.1526717557254], [254.95748613678367], [1.0]]
[[1223.5221374045805], [259.3438077634012], [1.0]]
[[1227.8916030534351], [268.1164510166359], [1.0]]
[[1233.7175572519086], [276.8890942698706], [1.0]]
[[342.3465648854963], [2952.545286506469], [1.0]]
[[348.1725190839697], [2939.386321626617], [1.0]]
[[346.7160305343513], [2908.682070240295], [1.0]]
[[352.5419847328246], [2891.1367837338257], [1.0]]
[[1267.2167938931298], [276.8890942698706], [1.0]]
[[1277.4122137404584], [276.8890942698706], [1.0]]
[[361.28091603053457], [2873.5914972273563], [1.0]]
[[362.7374045801528], [2873.5914972273563], [1.0]]
[[365.65038167938945], [2864.818853974122], [1.0]]
