[[-56.06946373 -41.41955837 -21.87593494], [-39.6483262  -24.99842084  -5.45479742], [-33.03648416 -18.3865788    1.15704463]]
[[-56.0693157  -41.41704538 -21.87593494], [-39.64817818 -24.99590785  -5.45479742], [-33.03633614 -18.38406581   1.15704463]]
[[-56.06904109 -41.41240022 -21.87593494], [-39.64790356 -24.9912627   -5.45479742], [-33.03606152 -18.37942066   1.15704463]]
[[-56.06892981 -41.41052278 -21.87593494], [-39.64779229 -24.98938525  -5.45479742], [-33.03595024 -18.37754321   1.15704463]]
[[-56.06884257 -41.40904697 -21.87593494], [-39.64770504 -24.98790945  -5.45479742], [-33.035863   -18.3760674    1.15704463]]
[[-56.068656   -41.40589194 -21.87593494], [-39.64751847 -24.98475442  -5.45479742], [-33.03567643 -18.37291237   1.15704463]]
[[-56.06849574 -41.40318412 -21.87593494], [-39.64735821 -24.9820466   -5.45479742], [-33.03551617 -18.37020456   1.15704463]]
[[-56.06847889 -41.40289373 -21.87593494], [-39.64734136 -24.9817562   -5.45479742], [-33.03549932 -18.36991416   1.15704463]]
[[-56.06846138 -41.40259333 -21.87593494], [-39.64732386 -24.9814558   -5.45479742], [-33.03548181 -18.36961376   1.15704463]]
[[-56.06845382 -41.40246112 -21.87593494], [-39.6473163  -24.9813236   -5.45479742], [-33.03547425 -18.36948155   1.15704463]]
[[-56.06843627 -41.40215988 -21.87593494], [-39.64729874 -24.98102236  -5.45479742], [-33.0354567  -18.36918032   1.15704463]]
[[-56.06840543 -41.40163434 -21.87593494], [-39.6472679  -24.98049681  -5.45479742], [-33.03542586 -18.36865477   1.15704463]]
[[-56.06838163 -41.40122723 -21.87593494], [-39.64724411 -24.9800897   -5.45479742], [-33.03540206 -18.36824766   1.15704463]]
[[-56.06835455 -41.40076491 -21.87593494], [-39.64721702 -24.97962739  -5.45479742], [-33.03537498 -18.36778534   1.15704463]]
